 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"","Saad Chaouki","Memphis","Jr.","5-11","M","15","6","0.40"
"","Isaac Emojong","Utah Valley","So.","6-2","FM","15","6","0.40"
"","Danny Istambouli","Sacred Heart","Jr.","5-9","M","15","6","0.40"
"","Zach Lifferth","Liberty","Sr.","6-0","F","20","8","0.40"
"","Wahabu Musah","Clemson","So.","6-0","F","15","6","0.40"
"","Eduardo Mustre","FIU","Sr.","5-10","F","15","6","0.40"
"","Ethan Roberts","Campbell","Sr.","6-1","F","20","8","0.40"
"111","Ethan Gill","Boston U.","Sr.","6-3","M","18","7","0.39"
"","Elias Khodri","New Hampshire","Sr.","6-0","F","18","7","0.39"
"","Alvaro Maneiro","Iona","So.","5-10","M","18","7","0.39"
"","Stephane Njike","Maryland","So.","5-10","F","18","7","0.39"
"","Sivert Ryssdalsnes","Quinnipiac","So.","-","M","18","7","0.39"
"","Emil Seedorff Sorensen","Ga. Southern","Fr.","6-1","M","18","7","0.39"
"117","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","8","0.38"
"118","Kenshin Akimoto","Radford","Jr.","5-10","F","16","6","0.38"
"","Chris Album","Green Bay","Sr.","6-0","F","16","6","0.38"
"","Miguel Arilla","Creighton","Jr.","5-8","M","16","6","0.38"
"","Elias Arsvoll","Charlotte","So.","6-3","F","16","6","0.38"
"","Grayson Elmquist","Michigan","Jr.","6-1","F","16","6","0.38"
"","Ivar Orri Gissurarson","UAlbany","Jr.","6-5","M","16","6","0.38"
"","Archie Hatcher","Holy Cross","Fr.","5-11","F","16","6","0.38"
"","Zsombor Pall","Stetson","Jr.","-","F","16","6","0.38"
"","Martim Sereno","George Mason","So.","5-9","F","16","6","0.38"
"","Reon Tezuka","Niagara","Jr.","-","F","16","6","0.38"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","6","0.38"
"129","Mario Carlos","Cal St. Fullerton","Sr.","6-0","F","19","7","0.37"
"","Myles Culley","Davidson","Jr.","6-0","FM","19","7","0.37"
"","Luc Granitur","North Florida","Sr.","5-10","F","19","7","0.37"
"132","Robbie Mora","Gonzaga","Sr.","6-0","M","14","5","0.36"
"","Dunes Nielsen","Utah Tech","So.","5-11","M","14","5","0.36"
"","Jaylen Orr","Gardner-Webb","Sr.","-","F","14","5","0.36"
"135","Junior Casillas","Mercer","Sr.","6-0","M","17","6","0.35"
"","Isaiah Chisolm","Kentucky","Jr.","6-3","F","17","6","0.35"
"","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","6","0.35"
"","Romeo Dahlen","Penn","So.","5-11","F","17","6","0.35"
"","Samir-Mohamed Djeha","Georgia St.","So.","6-1","F","17","6","0.35"
"","Anass Hadran","Robert Morris","Sr.","5-7","M","17","6","0.35"
"","Daniil Kaban","Howard","So.","6-1","F","17","6","0.35"
"","Brock Kiper","Belmont","Jr.","6-5","F","17","6","0.35"
"","Yanis Lakhlifi","St. Thomas (MN)","Sr.","6-1","F","17","6","0.35"
"","Tate Lorentz","Wake Forest","Jr.","5-11","FM","17","6","0.35"
"","Matteo Mazzotta","Saint Joseph's","Sr.","5-8","M","17","6","0.35"
"","Brandon Nyagurungo","South Fla.","Sr.","6-0","F","17","6","0.35"
"","Vance Sheffield","NIU","Fr.","6-0","F","17","6","0.35"
"","Misei Yoshizawa","Clemson","Sr.","5-8","M","17","6","0.35"
"149","Nacho Abeal","North Carolina","Sr.","5-8","M","20","7","0.35"
"","Remi Agunbiade","Akron","So.","6-1","F","20","7","0.35"
"","Alessandro Arlotti","Duke","Sr.","6-0","F","20","7","0.35"
"","Milton Lopez","SMU","Jr.","5-11","F","20","7","0.35"
Reclassifying
"NR","Francesco Pagano","Le Moyne","Sr.","6-1","F","17","6","0.35"

NCAA Men's Soccer
Division ITotal Goals
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","Goals"
"1","Donavan Phillip","NC State","Jr.","6-2","F","22","19"
"2","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","18"
"3","Palmer Ault","Indiana","Sr.","5-10","F","19","16"
"","Edouard Nys","UIC","Jr.","5-8","M","18","16"
"","Sergi Solans Ormo","UCLA","So.","6-2","F","19","16"
"6","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","15"
"","Laurie Goddard","Hofstra","Sr.","6-2","M","20","15"
"8","Mitchell Baker","Georgetown","So.","6-4","F","21","14"
"","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","14"
"","Daniel Lugo","High Point","So.","6-2","F","20","14"
"","Zach Zengue","Georgetown","Sr.","5-9","M","22","14"
"12","Daniel Burko","Hofstra","Sr.","6-3","F","20","13"
"","Lilian Ricol","UCF","Jr.","6-2","F","21","13"
"","Stephan Soghomonian","SMU","So.","5-10","F","20","13"
"15","Arnold Matshazi","San Jose St.","So.","5-9","F","20","12"
"","Richard Monath","Delaware","Jr.","5-8","M","17","12"
"","Tim Strele","Saint Peter's","Sr.","6-1","F","15","12"
"","Arnaud Tattevin","UNC Greensboro","Jr.","5-10","F","23","12"
"19","Andres Escudero","Evansville","Fr.","6-1","F","20","11"
"","Jeremy Francou","Kansas City","Jr.","6-0","F","21","11"
"","Joe Highfield","Portland","So.","6-4","F","20","11"
"","Mikey Johnson","Delaware","Sr.","6-2","F","17","11"
"","Oskar Kaufmann","USC Upstate","So.","6-2","F","19","11"
"","Charlie Kosakoff","Washington","Jr.","5-11","F","23","11"
"","Kyle McGowan","Denver","Jr.","6-3","F","22","11"
"","Pablo Pozos","West Virginia","Jr.","6-0","F","21","11"
"","Arnau Rabassa Guillamon","FDU","Sr.","-","M","20","11"
"","Marius Stenner","Delaware","So.","6-0","F","17","11"
"29","David Ajagbe","Portland","So.","6-1","F","20","10"
"","Lucas Almeida","Siena","Jr.","6-1","F","18","10"
"","Jaime Amaro","Bryant","Fr.","5-7","-","22","10"
"","Austin Brummett","UConn","Sr.","6-0","F","20","10"
"","Blake D'Agostino","California Baptist","So.","6-2","F","16","10"
"","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","10"
"","Cooper Forcellini","Xavier","Sr.","6-1","M","15","10"
"","Diego Hernandez","Furman","Jr.","5-9","M","23","10"
"","David Ismail","Vermont","Sr.","6-4","F","19","10"
"","Johan Nissen-Lie","Bellarmine","So.","6-3","F","17","10"
"","Lewis Rourke","Old Dominion","Jr.","6-2","F","18","10"
"","Nicholas Simmonds","Virginia","Fr.","6-4","F","19","10"
"","Trace Terry","Bowling Green","Sr.","6-2","F","17","10"
"42","Sean Albritton","Fairfield","Fr.","-","F","14","9"
"","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","9"
"","Patrick Cayelli","Penn","Sr.","5-10","M","17","9"
"","Mamadou Diarra","Fla. Atlantic","Sr.","5-10","F","18","9"
"","Cooper Flax","Wake Forest","Sr.","6-0","M","17","9"
"","Guilherme Gomes","St. John's (NY)","Fr.","6-2","D","18","9"
"","Angel Iniguez","San Jose St.","Sr.","5-6","M","20","9"
"","Daniel Ittycheria","Princeton","Sr.","6-2","F","16","9"
"","Samson Kpardeh","Gardner-Webb","So.","5-8","M","18","9"
"","Ricky Louis","Ga. Southern","So.","6-2","F","17","9"
"","Sadam Masereka","Maryland","Sr.","5-9","F","19","9"
"","Ryan Okerayi","Houston Christian","Jr.","6-3","F","18","9"
"","Iain Wagner","San Diego","So.","5-9","M","19","9"
"","Yeider Zuluaga","Seattle U","Sr.","5-11","M","13","9"
"56","Martin Bakken","Dayton","Jr.","6-1","M","18","8"
"","Ethan Ballek","South Carolina","Sr.","6-0","M","17","8"
"","Fabio Bozesan","South Fla.","Sr.","-","F","17","8"
"","Wilfer Bustamante","Furman","So.","5-8","F","23","8"
"","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","8"
"","Ransford Gyan","Clemson","So.","5-6","F","17","8"
"","Johannes Hanken Tjostheim","Boston College","Sr.","6-2","F","15","8"
"","Kenan Hot","Duke","Sr.","5-11","M","19","8"
"","Evan Howard","SIUE","Sr.","6-5","F","16","8"
"","Zach Lifferth","Liberty","Sr.","6-0","F","20","8"
"","Luka Lukic","California","Sr.","6-3","F","18","8"
"","John Paul Mbuthia","Massachusetts","Sr.","6-0","F","12","8"
"","Finlay Oliver","Stony Brook","Jr.","6-5","F","19","8"
"","Steven Ramirez","San Diego","Jr.","5-11","F","18","8"
"","Zach Ramsey","Washington","So.","5-10","M","24","8"
"","David Raphael","San Francisco","So.","5-8","F","17","8"
"","Ethan Roberts","Campbell","Sr.","6-1","F","20","8"
"","Drew Roskos","Bucknell","So.","5-8","F","18","8"
"","Ethan Sassine","Dayton","Sr.","5-10","F","17","8"
"","Fumiya Shiraishi","Missouri St.","Sr.","5-7","F","16","8"
"","Nathan Simes","Wofford","Jr.","6-1","F","18","8"
"","Iann Topete","Purdue Fort Wayne","Sr.","5-11","F","17","8"
"","Arnau Vilamitjana","Pittsburgh","Sr.","6-2","M","17","8"
"79","Nacho Abeal","North Carolina","Sr.","5-8","M","20","7"
"","Remi Agunbiade","Akron","So.","6-1","F","20","7"
"","Alessandro Arlotti","Duke","Sr.","6-0","F","20","7"
"","Clarence Awoudor","UCF","Sr.","5-7","FM","21","7"
"","Luca Bartoni","Lindenwood","Sr.","6-1","F","21","7"
"","Brayden Beason","San Francisco","So.","6-2","F","16","7"
"","Mario Carlos","Cal St. Fullerton","Sr.","6-0","F","19","7"
"","Fran Cortijo","Oregon St.","Sr.","5-11","D","17","7"
"","Mitch Coughlon","Bradley","Jr.","6-2","F","17","7"
"","Myles Culley","Davidson","Jr.","6-0","FM","19","7"
"","Braden Dunham","Furman","Fr.","6-1","D","23","7"
"","Troy Elgersma","American","Sr.","6-3","M","16","7"
"","Kyle Evans","Marist","Jr.","-","M","16","7"
"","William Fagerberg","Manhattan","So.","6-0","M","14","7"
"","Liam Gainey","Western Ill.","Sr.","6-0","F","16","7"
"","Brady Geho","UMBC","So.","6-3","F","17","7"
"","Ethan Gill","Boston U.","Sr.","6-3","M","18","7"
"","Misael Gonzalez Lopez","UC Irvine","Sr.","5-10","F","21","7"
"","Luc Granitur","North Florida","Sr.","5-10","F","19","7"
"","Seth Hammond","St. Bonaventure","Sr.","5-7","M","15","7"
"","Mamadi Jiana","Bryant","Sr.","6-0","F","21","7"
"","Elias Khodri","New Hampshire","Sr.","6-0","F","18","7"
"","Denis Krioutchenkov","Charlotte","Sr.","6-3","F","16","7"
"","Philipp Kühn","Vermont","Fr.","6-3","F","16","7"
"","Mikkel Lejbowicz","Seton Hall","So.","6-2","F","16","7"
"","Milton Lopez","SMU","Jr.","5-11","F","20","7"
"","Alvaro Maneiro","Iona","So.","5-10","M","18","7"
"","Ivan Morcillo","Sacred Heart","So.","5-11","F","17","7"
"","Stephane Njike","Maryland","So.","5-10","F","18","7"
"","Drew Pedersen","Gonzaga","Jr.","6-1","F","16","7"
"","Nathan Richmond","Clemson","Sr.","5-7","M","17","7"
"","Taylor Rogers","Utah Tech","So.","5-10","F","17","7"
"","Alex Ruiz","Kentucky","Sr.","6-0","M","17","7"
"","Sivert Ryssdalsnes","Quinnipiac","So.","-","M","18","7"
"","Jacobo Sanfeliu","George Mason","Sr.","6-0","F","16","7"
"","Joschi Schelb","Rutgers","Jr.","6-0","M","17","7"
"","Emil Seedorff Sorensen","Ga. Southern","Fr.","6-1","M","18","7"
"","Niklas Thanhofer","LIU","Sr.","6-1","D","17","7"
"","Dagur Traustason","Virginia Tech","Fr.","-","F","12","7"
"118","Prosper Adagani","High Point","Fr.","5-11","F","20","6"
"","Kenshin Akimoto","Radford","Jr.","5-10","F","16","6"
"","Chris Album","Green Bay","Sr.","6-0","F","16","6"
"","Tim Allos","Oakland","Sr.","6-1","F","15","6"
"","Miguel Arilla","Creighton","Jr.","5-8","M","16","6"
"","Elias Arsvoll","Charlotte","So.","6-3","F","16","6"
"","Jaime Barbero","FDU","Sr.","5-9","F","21","6"
"","Brando Bedolla","Longwood","So.","5-9","F","15","6"
"","Niv Berkovitz","Santa Clara","Jr.","5-8","M","15","6"
"","Quinten Blair","Saint Louis","Sr.","6-0","D","24","6"
"","Westin Carnevale","Cornell","Sr.","5-10","M","20","6"
"","Junior Casillas","Mercer","Sr.","6-0","M","17","6"
"","Saad Chaouki","Memphis","Jr.","5-11","M","15","6"
"","Isaiah Chisolm","Kentucky","Jr.","6-3","F","17","6"
"","Leo Conneh","Liberty","Jr.","5-7","F","20","6"
"","Gavin Csiszar","Lindenwood","Sr.","5-10","M","21","6"
"","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","6"
"","Romeo Dahlen","Penn","So.","5-11","F","17","6"
"","David Davila","Southern Ind.","So.","6-3","F","14","6"
"","Samir Dishnica","Lafayette","Jr.","6-0","M","22","6"
"","Samir-Mohamed Djeha","Georgia St.","So.","6-1","F","17","6"
"","Grayson Elmquist","Michigan","Jr.","6-1","F","16","6"
"","Mukisa Emmanuel","SMU","Jr.","5-10","F","20","6"
"","Isaac Emojong","Utah Valley","So.","6-2","FM","15","6"
"","Paco Fernandez","Bryant","Fr.","5-6","-","22","6"
"","Buba Fofanah","UC Santa Barbara","Sr.","5-9","F","18","6"
"","David Garcia Gallego","Sacred Heart","Sr.","5-9","M","18","6"
"","Ivar Orri Gissurarson","UAlbany","Jr.","6-5","M","16","6"
"","Cason Goodman","UC Davis","Sr.","6-3","F","19","6"
"","Anass Hadran","Robert Morris","Sr.","5-7","M","17","6"
"","Archie Hatcher","Holy Cross","Fr.","5-11","F","16","6"
"","Mads Horgoien","Marquette","Fr.","5-10","F","14","6"
"","Bardia Hormozi","Princeton","Jr.","5-10","FM","19","6"
"","Trevor Islam","Stanford","So.","5-7","M","18","6"
"","Danny Istambouli","Sacred Heart","Jr.","5-9","M","15","6"
"","Daniil Kaban","Howard","So.","6-1","F","17","6"
"","Iragi Kalala","Presbyterian","Sr.","5-4","M","18","6"
"","Brock Kiper","Belmont","Jr.","6-5","F","17","6"
"","Theo Klein","Omaha","Sr.","5-11","F","12","6"
"","Dan Klink","North Carolina","Fr.","6-4","F","14","6"
"","Yanis Lakhlifi","St. Thomas (MN)","Sr.","6-1","F","17","6"
"","Daniel Lang","Fordham","So.","6-1","D","18","6"
"","Tate Lorentz","Wake Forest","Jr.","5-11","FM","17","6"
"","Matteo Mazzotta","Saint Joseph's","Sr.","5-8","M","17","6"
"","Oliver Moller-Jensen","Fla. Atlantic","Jr.","5-9","F","18","6"
"","Wahabu Musah","Clemson","So.","6-0","F","15","6"
"","Eduardo Mustre","FIU","Sr.","5-10","F","15","6"
"","Brandon Nyagurungo","South Fla.","Sr.","6-0","F","17","6"
"","Zsombor Pall","Stetson","Jr.","-","F","16","6"
"","Adam Poliakov","Harvard","Fr.","6-0","F","10","6"
"","Joby Reid","Houston Christian","Fr.","6-0","F","19","6"
"","Jaxon Reinhardt","North Florida","Sr.","6-0","F","19","6"
"","Thomas Robertson","Lehigh","Jr.","5-10","F","20","6"
"","Jack Roman","Akron","So.","5-7","M","21","6"
"","Martim Sereno","George Mason","So.","5-9","F","16","6"
"","Vance Sheffield","NIU","Fr.","6-0","F","17","6"
"","Reon Tezuka","Niagara","Jr.","-","F","16","6"
"","Gijs Verheul","Marist","So.","6-4","D","14","6"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","6"
"","Will Wiersdorf","Santa Clara","Jr.","5-8","M","18","6"
"","Misei Yoshizawa","Clemson","Sr.","5-8","M","17","6"
"","Sergio Zapata","Cornell","Fr.","5-9","F","20","6"
Reclassifying
"NR","Francesco Pagano","Le Moyne","Sr.","6-1","F","17","6"

NCAA Men's Soccer
Division IAssists Per Game
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","Assists","Per Game"
"1","Diego Rosas","Portland","Jr.","-","F","20","15","0.75"
"2","Clarence Awoudor","UCF","Sr.","5-7","FM","21","15","0.71"
"3","Zach Zengue","Georgetown","Sr.","5-9","M","22","14","0.64"
"4","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","10","0.59"
"5","Richie Aman","Washington","Sr.","5-9","M","24","14","0.58"
"6","Philip Naef","UCLA","Jr.","5-11","M","19","11","0.58"
"7","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","12","0.57"
"8","Freddy Jeffreys","Delaware","Fr.","5-7","M","16","9","0.56"
"9","Vitalis Takawira Jr","USC Upstate","Sr.","5-8","F","18","10","0.56"
"10","Keegan Oyler","Utah Valley","Sr.","6-1","MD","15","8","0.53"
"11","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","9","0.53"
"","Jack Stainrod","LIU","Sr.","6-2","F","17","9","0.53"
"","Marius Stenner","Delaware","So.","6-0","F","17","9","0.53"
"14","Palmer Ault","Indiana","Sr.","5-10","F","19","10","0.53"
"","Marco Dos Santos","Virginia","Jr.","5-9","F","19","10","0.53"
"16","Stefano Campisi","Hofstra","Sr.","5-8","M","20","10","0.50"
"","Jakob Friedman","Monmouth","Sr.","5-8","F","16","8","0.50"
"","Cameron Gerber","Fairfield","Jr.","5-11","M","18","9","0.50"
"","Loed Klaasen","Coastal Carolina","Sr.","6-1","M","14","7","0.50"
"","Matteo Landais","Lindenwood","Sr.","6-0","M","18","9","0.50"
"","Remi Okunlola","Clemson","Jr.","5-11","F","16","8","0.50"
"22","Patrick Cayelli","Penn","Sr.","5-10","M","17","8","0.47"
"","Andrew De Gannes","Oregon St.","Sr.","5-9","D","17","8","0.47"
"","Ransford Gyan","Clemson","So.","5-6","F","17","8","0.47"
"","Aboubacar Traore","Fla. Atlantic","Jr.","5-9","M","17","8","0.47"
"26","Seth Hammond","St. Bonaventure","Sr.","5-7","M","15","7","0.47"
"27","Nacho Abeal","North Carolina","Sr.","5-8","M","20","9","0.45"
"","Giacomo Zizza","Lehigh","So.","-","M","20","9","0.45"
"29","Albi Ndrenika","Maryland","Sr.","5-10","M","18","8","0.44"
"30","Henry Hamilton","Manhattan","Sr.","5-8","F","16","7","0.44"
"31","Pearse O'Brien","Providence","Jr.","5-9","M","14","6","0.43"
"32","Martin Kozak","Elon","Jr.","5-11","M","19","8","0.42"
"","Gilberto Rivera","San Jose St.","Jr.","5-10","M","19","8","0.42"
"34","Cooper Flax","Wake Forest","Sr.","6-0","M","17","7","0.41"
"","Pharis Petrica","Boston U.","So.","5-9","M","17","7","0.41"
"36","Brando Bedolla","Longwood","So.","5-9","F","15","6","0.40"
"","Lucho Galizzi","Memphis","Sr.","6-0","F","15","6","0.40"
"","Yoshiki Igarashi","Omaha","Sr.","5-11","M","15","6","0.40"
"","Brendan Krueger","High Point","Sr.","5-11","M","20","8","0.40"
"","Sven Meacham","Yale","So.","5-11","D","15","6","0.40"
"41","Wilfer Bustamante","Furman","So.","5-8","F","23","9","0.39"
"","Diego Hernandez","Furman","Jr.","5-9","M","23","9","0.39"
"","Riley Moloney","NC State","Fr.","-","D","23","9","0.39"
"44","Mamadou Diarra","Fla. Atlantic","Sr.","5-10","F","18","7","0.39"
"","David Garcia Gallego","Sacred Heart","Sr.","5-9","M","18","7","0.39"
"","Stephane Njike","Maryland","So.","5-10","F","18","7","0.39"
"","Calle Sjoberg","Iona","Jr.","6-0","M","18","7","0.39"
"48","Sergio Gonzalez Fernandez","George Mason","Sr.","5-9","M","13","5","0.38"
"","Jose Luis Martin Montealegre","Utah Valley","Jr.","6-2","F","13","5","0.38"
"","Yeider Zuluaga","Seattle U","Sr.","5-11","M","13","5","0.38"
"51","Jesus Macaya","Longwood","Jr.","6-0","M","16","6","0.38"
"","Sota Nakazono","UIC","Jr.","5-10","D","16","6","0.38"
"","Carlos Nevarez","UIC","So.","5-9","M","16","6","0.38"
"","Thomas Raimbault","Wisconsin","Sr.","5-11","F","16","6","0.38"
"55","Jesus De Vicente","Virginia","Sr.","5-11","D","19","7","0.37"
"","Alex Fleury","Stony Brook","Jr.","6-0","M","19","7","0.37"
"","Martin Piedeleu","Siena","Fr.","5-8","M","19","7","0.37"
"58","Taig Healy","NC State","Sr.","5-7","M","22","8","0.36"
"","Calem Tommy","NC State","Sr.","5-9","D","22","8","0.36"
"60","Jemone Barclay","Charlotte","Sr.","6-1","D","14","5","0.36"
"","Berkay Duman","ETSU","Fr.","-","M","14","5","0.36"
"","Eric Martinez","UC Riverside","Fr.","5-8","F","14","5","0.36"
"","Morgan Worsfold-Gregg","Drexel","So.","5-10","M","14","5","0.36"
"64","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","6","0.35"
"","Fabio Bozesan","South Fla.","Sr.","-","F","17","6","0.35"
"","Matt Cence","Massachusetts","Sr.","-","M","17","6","0.35"
"","Jose Gomez","NIU","Sr.","5-10","M","17","6","0.35"
"","Julian Jakopovic","St. John's (NY)","Sr.","6-1","M","17","6","0.35"
"","Ander Marticorena","UCLA","Fr.","-","M","17","6","0.35"
"","Alejandro Martinez Santamaria","Northwestern","Sr.","5-10","F","17","6","0.35"
"","Roko Branko Mrvelj","UAlbany","Fr.","-","M","17","6","0.35"
"","Nico Nee","Oregon St.","Sr.","5-10","F","17","6","0.35"
"","Umberto Pelà","Virginia","Sr.","5-11","M","17","6","0.35"
"","Nathan Rodrigues","LMU (CA)","Jr.","5-11","D","17","6","0.35"
"","Gabin Thomelier","St. John's (NY)","Jr.","-","F","17","6","0.35"
"","Matthew Van Horn","Georgetown","Jr.","6-0","M","17","6","0.35"
"77","Perry Blay","Liberty","Jr.","5-6","D","20","7","0.35"
"","Celestin Blondel","High Point","Sr.","5-5","F","20","7","0.35"
"","Laurie Goddard","Hofstra","Sr.","6-2","M","20","7","0.35"
"","Angel Iniguez","San Jose St.","Sr.","5-6","M","20","7","0.35"
"","Ayoub Lajhar","UConn","Jr.","6-0","D","20","7","0.35"
"","Luca Nikolai","North Carolina","Jr.","6-1","D","20","7","0.35"
"","Takuto Nishide","FDU","Sr.","-","-","20","7","0.35"
"","Nolan Spicer","Notre Dame","Jr.","5-8","M","20","7","0.35"
"","Jose de la Torre","Cal St. Fullerton","So.","5-7","M","20","7","0.35"
"86","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","8","0.35"
"87","Lorenzo Amaral","Brown","Jr.","-","F","15","5","0.33"
"","João Belmudes","South Fla.","Sr.","5-9","M","15","5","0.33"
"","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","7","0.33"
"","Iker Carbonell","Oregon St.","So.","-","D","15","5","0.33"
"","Michael Eberle","Old Dominion","Sr.","6-2","F","18","6","0.33"
"","Daniel Escorcia","SMU","Sr.","-","M","18","6","0.33"
"","Alex Hall","Washington","So.","5-11","M","24","8","0.33"
"","Kaiss Mansouri","North Florida","So.","5-8","F","18","6","0.33"
"","Aidan Martinez","Wisconsin","Fr.","6-1","M","15","5","0.33"
"","Eben McIntyre","Memphis","Jr.","6-3","F","15","5","0.33"
"","Oliver Moller-Jensen","Fla. Atlantic","Jr.","5-9","F","18","6","0.33"
"","Chris Morandi","Iona","Sr.","5-10","M","18","6","0.33"
"","Tony Murphy","Southern Ind.","Fr.","5-8","M","15","5","0.33"
"","Marc Pitarch Bayot","Bryant","Sr.","6-3","F","18","6","0.33"
"","Jaden Prado","Northeastern","Jr.","5-10","D","15","5","0.33"
"","Zach Ramsey","Washington","So.","5-10","M","24","8","0.33"
"","Rocket Ritarita","Maryland","Fr.","5-9","F","18","6","0.33"
"","Isaac Scheer","West Virginia","So.","5-10","M","21","7","0.33"
"","Nathan Simes","Wofford","Jr.","6-1","F","18","6","0.33"
"106","Jaime Amaro","Bryant","Fr.","5-7","-","22","7","0.32"
"107","Ryan Clanton-Pimentel","SMU","So.","5-6","M","19","6","0.32"
"","Jack Jasinski","Princeton","Sr.","6-1","M","19","6","0.32"
"","Claudel N'goubou","UCF","Sr.","6-5","F","19","6","0.32"
"","Collins Oduro","Indiana","Jr.","5-7","F","19","6","0.32"
"","Alex Parvu","Virginia","So.","6-2","D","19","6","0.32"
"","Kalle Rahbeck","Wofford","So.","5-10","M","19","6","0.32"
"","Joby Reid","Houston Christian","Fr.","6-0","F","19","6","0.32"
"","Sergi Solans Ormo","UCLA","So.","6-2","F","19","6","0.32"
"","Beau Yantz","High Point","Sr.","5-11","D","19","6","0.32"
"","Jaylen Yearwood","North Florida","Sr.","6-0","M","19","6","0.32"
"","Baylen Young","Davidson","Sr.","5-11","M","19","6","0.32"
"118","Russell Brown","Boston College","Jr.","6-2","F","16","5","0.31"
"","Caden Grabfelder","Penn St.","Jr.","6-0","M","16","5","0.31"
"","Adriano Iannello","Marist","Fr.","5-8","F","16","5","0.31"
"","Ben Kelly","Harvard","Jr.","6-2","F","16","5","0.31"
"","Rodrigo Mendes","UNC Asheville","Sr.","5-6","F","16","5","0.31"
"","Luciano Pechota","Ohio St.","Sr.","5-6","M","16","5","0.31"
"","Drew Pedersen","Gonzaga","Jr.","6-1","F","16","5","0.31"
"","Alex Perez","Virginia Tech","So.","5-10","M","16","5","0.31"
"","Jonathan Salguero","Marist","Sr.","5-8","M","16","5","0.31"
"","Yasha Schaerer","Marshall","Jr.","5-8","M","16","5","0.31"
"","Martim Sereno","George Mason","So.","5-9","F","16","5","0.31"
"","Lucas Shearer","Central Ark.","Sr.","6-1","M","16","5","0.31"
"","Arion Ulaj","Marist","Jr.","6-2","M","16","5","0.31"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","5","0.31"
"","Dominic Zuniga","Milwaukee","Jr.","5-11","M","16","5","0.31"
"133","Charlie Kosakoff","Washington","Jr.","5-11","F","23","7","0.30"
"134","Charles-Emile Brunet","SMU","So.","5-8","M","20","6","0.30"
"","Tyler Caton","NC State","Jr.","5-11","M","20","6","0.30"
"","Ben Assane Fall","Grand Canyon","Sr.","6-2","F","20","6","0.30"
"","Aidan Martin","Cornell","So.","5-9","D","20","6","0.30"
"","Connor Miller","Cornell","Jr.","5-8","M","20","6","0.30"
"","Jaylinn Mitchell","SMU","Jr.","5-8","M","20","6","0.30"
"","Joshua Partal","Stanford","Fr.","6-2","M","20","6","0.30"
"","Malick Thiaw","UCF","Sr.","6-0","F","20","6","0.30"
"142","Kofi Amoah","UMBC","Sr.","5-5","F","17","5","0.29"
"","Luca Baltzer","Pacific","Sr.","6-1","M","17","5","0.29"
"","Paul Claes Nielsen","Belmont","Fr.","6-2","M","17","5","0.29"
"","Fran Cortijo","Oregon St.","Sr.","5-11","D","17","5","0.29"
"","Kevin Cull","Holy Cross","Jr.","6-0","M","17","5","0.29"
"","Simon Diagana","Santa Clara","So.","5-9","F","17","5","0.29"
"","Giorgos Diakos","Cornell","Sr.","-","F","17","5","0.29"
"","Nick Harshaw","Bellarmine","So.","5-9","M","17","5","0.29"
"","DJ Koulai","Bradley","Jr.","5-10","F","17","5","0.29"
"","Jaxson Lee","Robert Morris","So.","6-5","D","17","5","0.29"
"","Tate Lorentz","Wake Forest","Jr.","5-11","FM","17","5","0.29"
"","Robbie Lyons","Gardner-Webb","Sr.","-","M","17","5","0.29"
"","Tizian Marth","California Baptist","So.","5-8","M","17","5","0.29"
"","Nathan Richmond","Clemson","Sr.","5-7","M","17","5","0.29"
"","Taylor Rogers","Utah Tech","So.","5-10","F","17","5","0.29"
"","Andreas Savva","Harvard","Jr.","5-10","F","17","5","0.29"
"","Vance Sheffield","NIU","Fr.","6-0","F","17","5","0.29"
"","Joe Suchecki","Northwestern","Sr.","6-4","M","17","5","0.29"
Reclassifying
"NR","Alvar Silva","Mercyhurst","Jr.","6-0","F","16","6","0.38"

NCAA Men's Soccer
Division ITotal Assists
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","Assists"
