Team,Games,Wins,Losses,Ties,WinPct,TotalGoals,GoalsPerGame,TotalAssists,AssistsPerGame,TotalPoints,PointsPerGame,GoalDiff,ShotAttempts,ShotsPerGame,ShotsOnGoal,ShotsOnGoalPerGame,ShotAccuracyPct,Corners,CornersPerGame,PKGoals,PKAttempts,PKPct,TotalFouls,FoulsPerGame,YellowCards,RedCards,TotalSaves,SavesPerGame,SavePct,TeamMinutes,GoalsAgainst,GAA,Shutouts,ShutoutPct
Canisius,16,5,10,1,0.344,16,1.00,15,0.94,47,2.94,-16,132,8.25,48,3.00,0.364,66,4.13,1,1,1.000,168,10.50,29,1,67,4.19,0.677,1440:00,32,2.000,2,0.125
Rhode Island,17,4,8,5,0.382,26,1.53,21,1.24,73,4.29,1,200,11.76,73,4.29,0.365,70,4.12,3,4,0.750,239,14.06,43,1,62,3.65,0.713,1530:00,25,1.471,3,0.176
Air Force,17,1,13,3,0.147,12,0.71,8,0.47,32,1.88,-26,163,9.59,69,4.06,0.423,70,4.12,0,0,0.000,142,8.35,27,1,75,4.41,0.664,1530:00,38,2.235,1,0.059
St. Thomas (MN),17,7,5,5,0.559,24,1.41,18,1.06,66,3.88,2,187,11.00,85,5.00,0.455,70,4.12,2,3,0.667,209,12.29,36,1,49,2.88,0.690,1530:00,22,1.294,5,0.294
Detroit Mercy,18,5,10,3,0.361,18,1.00,11,0.61,47,2.61,-12,190,10.56,77,4.28,0.405,74,4.11,6,6,1.000,230,12.78,33,3,82,4.56,0.732,1620:00,30,1.667,4,0.222
Santa Clara,18,6,5,7,0.528,23,1.28,28,1.56,74,4.11,0,204,11.33,78,4.33,0.382,74,4.11,0,0,0.000,234,13.00,45,2,58,3.22,0.716,1620:00,23,1.278,7,0.389
Jacksonville,18,6,7,5,0.472,27,1.50,19,1.06,73,4.06,8,222,12.33,108,6.00,0.486,74,4.11,2,2,1.000,209,11.61,34,2,60,3.33,0.759,1640:00,19,1.043,6,0.333
George Washington,17,2,11,4,0.235,14,0.82,14,0.82,42,2.47,-17,183,10.76,71,4.18,0.388,69,4.06,1,1,1.000,202,11.88,36,3,92,5.41,0.748,1530:00,31,1.824,2,0.118
Boston U.,18,10,8,0,0.556,30,1.67,33,1.83,93,5.17,4,212,11.78,101,5.61,0.476,73,4.06,1,1,1.000,193,10.72,32,1,66,3.67,0.717,1620:00,26,1.444,3,0.167
Howard,18,5,11,2,0.333,18,1.00,15,0.83,51,2.83,-19,141,7.83,64,3.56,0.454,73,4.06,0,0,0.000,154,8.56,30,1,95,5.28,0.720,1620:00,37,2.056,3,0.167
