 


  
  

NCAA Men's Soccer
Division ICorner Kicks Per Game
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Corners","Per Game"
"","Lindenwood","21","14-3-4","91","4.33"
"133","Temple","16","1-13-2","69","4.31"
"","Wright St.","16","2-13-1","69","4.31"
"","James Madison","16","1-10-5","69","4.31"
"136","Lehigh","20","9-5-6","86","4.30"
"137","Belmont","17","8-3-6","73","4.29"
"","CSU Bakersfield","17","3-11-3","73","4.29"
"139","Brown","15","6-7-2","64","4.27"
"140","Milwaukee","19","4-7-8","81","4.26"
"","Wofford","19","6-11-2","81","4.26"
"142","FGCU","16","6-7-3","68","4.25"
"","Presbyterian","20","7-8-5","85","4.25"
"144","South Fla.","17","9-3-5","72","4.24"
"","Radford","17","2-11-4","72","4.24"
"","Central Conn. St.","17","1-14-2","72","4.24"
"147","Sacramento St.","18","2-12-4","76","4.22"
"","Villanova","18","7-6-5","76","4.22"
"149","Pacific","18","4-14","75","4.17"
"","Oakland","18","3-9-6","75","4.17"
"151","Campbell","20","10-6-4","83","4.15"
"152","UAB","15","6-7-2","62","4.13"
"153","Loyola Chicago","16","4-5-7","66","4.13"
"","Canisius","16","5-10-1","66","4.13"
"155","Rhode Island","17","4-8-5","70","4.12"
"","Air Force","17","1-13-3","70","4.12"
"","St. Thomas (MN)","17","7-5-5","70","4.12"
"158","Detroit Mercy","18","5-10-3","74","4.11"
"","Santa Clara","18","6-5-7","74","4.11"
"","Jacksonville","18","6-7-5","74","4.11"
"161","George Washington","17","2-11-4","69","4.06"
"162","Boston U.","18","10-8","73","4.06"
"","Howard","18","5-11-2","73","4.06"
"164","Eastern Ill.","17","4-9-4","68","4.00"
"","William & Mary","16","2-10-4","64","4.00"
"","Holy Cross","18","4-8-6","72","4.00"
"","Omaha","16","3-9-4","64","4.00"
"168","San Diego","19","13-3-3","75","3.95"
"169","Mercer","18","5-9-4","71","3.94"
"","Stonehill","18","5-10-3","71","3.94"
"171","Binghamton","17","4-13","67","3.94"
"172","Gonzaga","16","5-8-3","62","3.88"
"173","Evansville","20","7-5-8","77","3.85"
"174","Saint Francis","18","8-9-1","69","3.83"
"175","Mount St. Mary's","17","3-9-5","65","3.82"
"","Bowling Green","17","5-8-4","65","3.82"
"177","Columbia","15","3-8-4","57","3.80"
"178","American","18","8-8-2","68","3.78"
"","Saint Joseph's","18","6-7-5","68","3.78"
"180","UC Irvine","21","11-4-6","79","3.76"
"181","ETSU","15","2-9-4","56","3.73"
"182","Rider","17","2-11-4","63","3.71"
"183","Manhattan","16","4-8-4","59","3.69"
"184","UIW","18","5-7-6","66","3.67"
"","New Hampshire","18","5-8-5","66","3.67"
"186","Western Ill.","20","5-11-4","73","3.65"
"187","Robert Morris","17","6-4-7","62","3.65"
"","IU Indy","17","6-8-3","62","3.65"
"189","Coastal Carolina","14","3-9-2","51","3.64"
"190","VMI","18","3-12-3","65","3.61"
"","UMass Lowell","18","7-7-4","65","3.61"
"192","UTRGV","10","1-7-2","36","3.60"
"193","Dartmouth","14","3-8-3","50","3.57"
"194","Loyola Maryland","16","3-10-3","57","3.56"
"","Winthrop","16","1-12-3","57","3.56"
"196","Georgia St.","18","4-8-6","64","3.56"
"197","Drake","17","8-2-7","60","3.53"
"198","UNLV","16","4-6-6","56","3.50"
"199","Northeastern","15","4-7-4","52","3.47"
"200","UC San Diego","18","2-9-7","62","3.44"
"201","Central Ark.","16","4-10-2","55","3.44"
"202","Utah Tech","17","4-7-6","58","3.41"
"203","Xavier","15","5-6-4","50","3.33"
"204","Cleveland St.","19","9-4-6","63","3.32"
"205","Queens (NC)","17","5-6-6","51","3.00"
"206","LIU","18","8-3-7","53","2.94"
"207","Southern Ind.","17","2-10-5","49","2.88"
"208","Yale","15","3-9-3","42","2.80"
"209","Lafayette","22","8-7-7","56","2.55"
"210","Chicago St.","17","1-15-1","40","2.35"
Reclassifying
"NR","Le Moyne","17","5-10-2","59","3.47"
"NR","Mercyhurst","17","3-10-4","59","3.47"
"NR","New Haven","16","5-5-6","54","3.38"

NCAA Men's Soccer
Division IRed Cards
Through Games 12/15/2025


"Rank","Name","Red Cards","W-L"
"1","VCU","6","6-6-5"
"","Michigan","6","12-4-4"
"3","Cal St. Fullerton","5","8-6-6"
"","Old Dominion","5","5-5-8"
"","UC Santa Barbara","5","7-5-8"
"6","Merrimack","4","4-9-3"
"","Bowling Green","4","5-8-4"
"","Marshall","4","12-4-5"
"","New Hampshire","4","5-8-5"
"","Central Ark.","4","4-10-2"
"","Northeastern","4","4-7-4"
"","Quinnipiac","4","7-10-1"
"","San Diego St.","4","7-9-2"
"","Niagara","4","8-7-1"
"15","Utah Tech","3","4-7-6"
"","CSUN","3","6-6-6"
"","UC San Diego","3","2-9-7"
"","Chicago St.","3","1-15-1"
"","UConn","3","12-5-4"
"","Creighton","3","8-4-4"
"","Detroit Mercy","3","5-10-3"
"","ETSU","3","2-9-4"
"","Eastern Ill.","3","4-9-4"
"","Fairfield","3","8-5-5"
"","FIU","3","7-9-3"
"","Fordham","3","8-6-4"
"","George Washington","3","2-11-4"
"","Gonzaga","3","5-8-3"
"","La Salle","3","4-5-8"
"","Lafayette","3","8-7-7"
"","Manhattan","3","4-8-4"
"","NC State","3","16-3-4"
"","Northern Ky.","3","4-10-3"
"","Notre Dame","3","9-7-4"
"","Pacific","3","4-14"
"","UTRGV","3","1-7-2"
"","St. John's (NY)","3","9-6-4"
"","Saint Louis","3","13-3-8"
"","Saint Mary's (CA)","3","2-8-6"
"","San Jose St.","3","12-4-4"
"","SIUE","3","6-11-2"
"","Army West Point","3","7-6-5"
"","Xavier","3","5-6-4"
"","IU Indy","3","6-8-3"
"","Utah Valley","3","8-4-3"
"","American","3","8-8-2"
"47","Akron","2","13-5-3"
"","Belmont","2","8-3-6"
