 


  
  

NCAA Men's Soccer
Division ICorner Kicks Per Game
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Corners","Per Game"
"","Virginia Tech","16","7-4-5","24","1.50"
"","Ga. Southern","18","13-4-1","27","1.50"
"","Lehigh","20","9-5-6","30","1.50"
"87","USC Upstate","19","5-11-3","28","1.47"
"","Houston Christian","19","11-5-3","28","1.47"
"89","La Salle","17","4-5-8","25","1.47"
"90","UAB","15","6-7-2","22","1.47"
"91","South Carolina","18","7-9-2","26","1.44"
"","California","18","8-8-2","26","1.44"
"93","Duquesne","16","8-6-2","23","1.44"
"","Providence","16","6-7-3","23","1.44"
"","Niagara","16","8-7-1","23","1.44"
"","FGCU","16","6-7-3","23","1.44"
"97","Cleveland St.","19","9-4-6","27","1.42"
"","Kentucky","19","10-4-5","27","1.42"
"99","St. Thomas (MN)","17","7-5-5","24","1.41"
"100","Evansville","20","7-5-8","28","1.40"
"101","Army West Point","18","7-6-5","25","1.39"
"","Quinnipiac","18","7-10-1","25","1.39"
"103","UC Irvine","21","11-4-6","29","1.38"
"104","Wisconsin","16","8-8","22","1.38"
"","Merrimack","16","4-9-3","22","1.38"
"106","Harvard","17","6-6-5","23","1.35"
"","Stetson","17","6-8-3","23","1.35"
"","Drake","17","8-2-7","23","1.35"
"109","Villanova","18","7-6-5","24","1.33"
"","Saint Francis","18","8-9-1","24","1.33"
"","LIU","18","8-3-7","24","1.33"
"","Georgia St.","18","4-8-6","24","1.33"
"113","Western Mich.","22","8-10-4","29","1.32"
"114","Davidson","19","9-7-3","25","1.32"
"115","Missouri St.","16","6-6-4","21","1.31"
"","Manhattan","16","4-8-4","21","1.31"
"","Creighton","16","8-4-4","21","1.31"
"","UNCW","16","5-9-2","21","1.31"
"","UNC Asheville","16","7-7-2","21","1.31"
"","Saint Peter's","16","4-10-2","21","1.31"
"121","Presbyterian","20","7-8-5","26","1.30"
"","Notre Dame","20","9-7-4","26","1.30"
"123","Col. of Charleston","17","6-8-3","22","1.29"
"","Bradley","17","2-9-6","22","1.29"
"","Northwestern","17","8-6-3","22","1.29"
"","VCU","17","6-6-5","22","1.29"
"","Utah Tech","17","4-7-6","22","1.29"
"128","American","18","8-8-2","23","1.28"
"","Green Bay","18","9-7-2","23","1.28"
"","Santa Clara","18","6-5-7","23","1.28"
"131","Memphis","15","4-8-3","19","1.27"
"132","FIU","19","7-9-3","24","1.26"
"133","Gonzaga","16","5-8-3","20","1.25"
"","Longwood","16","3-8-5","20","1.25"
"","Saint Louis","24","13-3-8","30","1.25"
"136","UC Riverside","17","4-9-4","21","1.24"
"137","Coastal Carolina","14","3-9-2","17","1.21"
"138","Columbia","15","3-8-4","18","1.20"
"","Syracuse","20","9-8-3","24","1.20"
"","ETSU","15","2-9-4","18","1.20"
"141","Michigan St.","16","5-8-3","19","1.19"
"","Central Ark.","16","4-10-2","19","1.19"
"143","UAlbany","17","5-6-6","20","1.18"
"","DePaul","17","2-8-7","20","1.18"
"","UMBC","17","6-6-5","20","1.18"
"146","Mercer","18","5-9-4","21","1.17"
"","Saint Joseph's","18","6-7-5","21","1.17"
"148","Elon","19","9-3-7","22","1.16"
"149","Dartmouth","14","3-8-3","16","1.14"
"150","Brown","15","6-7-2","17","1.13"
"","Northeastern","15","4-7-4","17","1.13"
"152","Drexel","16","4-6-6","18","1.13"
"","Monmouth","16","5-8-3","18","1.13"
"154","Pittsburgh","18","6-7-5","20","1.11"
"","San Diego St.","18","7-9-2","20","1.11"
"","Oakland","18","3-9-6","20","1.11"
"","UMass Lowell","18","7-7-4","20","1.11"
"158","UTRGV","10","1-7-2","11","1.10"
"159","Omaha","16","3-9-4","17","1.06"
"","Loyola Chicago","16","4-5-7","17","1.06"
"","Ohio St.","16","6-10","17","1.06"
"162","Louisville","17","5-7-5","18","1.06"
"","Southern Ind.","17","2-10-5","18","1.06"
"164","Holy Cross","18","4-8-6","19","1.06"
"","Pacific","18","4-14","19","1.06"
"166","UC Davis","19","4-9-6","20","1.05"
"167","UC Santa Barbara","20","7-5-8","21","1.05"
"168","SIUE","19","6-11-2","19","1.00"
"","VMI","18","3-12-3","18","1.00"
"","Wright St.","16","2-13-1","16","1.00"
"","Butler","17","5-10-2","17","1.00"
"","New Hampshire","18","5-8-5","18","1.00"
"","Canisius","16","5-10-1","16","1.00"
"","Detroit Mercy","18","5-10-3","18","1.00"
"","Rider","17","2-11-4","17","1.00"
"","Radford","17","2-11-4","17","1.00"
"","Howard","18","5-11-2","18","1.00"
"","UNLV","16","4-6-6","16","1.00"
"","IU Indy","17","6-8-3","17","1.00"
"180","Navy","18","3-8-7","17","0.94"
"181","Bowling Green","17","5-8-4","16","0.94"
"","Eastern Ill.","17","4-9-4","16","0.94"
"","Lipscomb","17","2-9-6","16","0.94"
"184","Saint Mary's (CA)","16","2-8-6","15","0.94"
"185","UIW","18","5-7-6","16","0.89"
"","Stonehill","18","5-10-3","16","0.89"
"187","Mount St. Mary's","17","3-9-5","15","0.88"
"188","Western Ill.","20","5-11-4","17","0.85"
"189","Tulsa","18","5-9-4","15","0.83"
"190","CSU Bakersfield","17","3-11-3","14","0.82"
"","George Washington","17","2-11-4","14","0.82"
"","Oral Roberts","17","4-10-3","14","0.82"
"","Northern Ky.","17","4-10-3","14","0.82"
"194","Lafayette","22","8-7-7","18","0.82"
"195","Queens (NC)","17","5-6-6","13","0.76"
"196","William & Mary","16","2-10-4","12","0.75"
"197","Yale","15","3-9-3","11","0.73"
"198","Sacramento St.","18","2-12-4","13","0.72"
"199","Binghamton","17","4-13","12","0.71"
"","Air Force","17","1-13-3","12","0.71"
"201","Loyola Maryland","16","3-10-3","11","0.69"
"202","Central Conn. St.","17","1-14-2","11","0.65"
"203","James Madison","16","1-10-5","10","0.63"
"204","CSUN","18","6-6-6","11","0.61"
"205","UC San Diego","18","2-9-7","10","0.56"
"206","Colgate","17","5-7-5","9","0.53"
"207","Temple","16","1-13-2","8","0.50"
"","Winthrop","16","1-12-3","8","0.50"
"209","NJIT","17","3-9-5","8","0.47"
"210","Chicago St.","17","1-15-1","7","0.41"
Reclassifying
"NR","Le Moyne","17","5-10-2","20","1.18"
"NR","Mercyhurst","17","3-10-4","18","1.06"
"NR","New Haven","16","5-5-6","16","1.00"

NCAA Men's Soccer
Division ITotal Goals
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Goals"
"1","Washington","24","16-6-2","54"
"2","Georgetown","22","14-4-4","52"
"3","NC State","23","16-3-4","51"
"","Furman","23","16-2-5","51"
"5","High Point","20","14-2-4","49"
"6","Delaware","17","12-2-3","48"
"7","Indiana","19","12-6-1","46"
"8","Maryland","19","13-2-4","45"
"","West Virginia","21","13-5-3","45"
"","UNC Greensboro","23","12-5-6","45"
"11","Bryant","22","17-2-3","44"
"12","Grand Canyon","23","14-4-5","43"
"","Portland","20","14-2-4","43"
"14","Lindenwood","21","14-3-4","42"
"","Cornell","20","14-4-2","42"
"16","Campbell","20","10-6-4","41"
"","Vermont","20","14-1-5","41"
"","Oregon St.","17","10-5-2","41"
"19","UCF","21","11-7-3","40"
"","Marshall","21","12-4-5","40"
"","Hofstra","20","14-5-1","40"
"22","Wake Forest","17","7-4-6","39"
"","UIC","18","10-3-5","39"
"24","Denver","22","12-7-3","38"
"","Duke","20","10-4-6","38"
"","California Baptist","17","10-4-3","38"
"","San Jose St.","20","12-4-4","38"
"","North Florida","19","12-5-2","38"
"","FDU","21","13-5-3","38"
"30","Stanford","20","14-4-2","37"
"","Clemson","17","8-6-3","37"
"32","Michigan","20","12-4-4","36"
"","Fla. Atlantic","18","12-4-2","36"
"","San Diego","19","13-3-3","36"
"","St. John's (NY)","19","9-6-4","36"
"","Liberty","20","9-5-6","36"
"37","Iona","18","9-4-5","35"
"","UConn","21","12-5-4","35"
"39","Bellarmine","17","8-4-5","34"
"","Princeton","19","15-2-2","34"
"","Kansas City","21","12-4-5","34"
"","Gardner-Webb","18","13-3-2","34"
"","SMU","20","11-5-4","34"
"44","Akron","21","13-5-3","33"
"","Fairfield","18","8-5-5","33"
"","Virginia","19","12-2-5","33"
"","South Fla.","17","9-3-5","33"
"","Charlotte","16","8-4-4","33"
"49","Cal St. Fullerton","20","8-6-6","32"
"","UCLA","19","8-6-5","32"
"","George Mason","16","7-6-3","32"
"","Milwaukee","19","4-7-8","32"
"","Sacred Heart","18","9-4-5","32"
"","Stony Brook","19","9-5-5","32"
"","Old Dominion","18","5-5-8","32"
"56","Boston College","17","7-9-1","31"
"","Dayton","18","8-2-8","31"
"","LMU (CA)","18","5-6-7","31"
"","Utah Valley","15","8-4-3","31"
"","Siena","19","9-5-5","31"
"","Seattle U","17","4-7-6","31"
"","North Carolina","20","9-5-6","31"
"63","Boston U.","18","10-8","30"
"","Cal Poly","20","9-6-5","30"
"","Lehigh","20","9-5-6","30"
"","Wofford","19","6-11-2","30"
"","Saint Louis","24","13-3-8","30"
"","Seton Hall","19","7-4-8","30"
"","NIU","17","8-5-4","30"
"70","Bucknell","18","9-4-5","29"
"","UC Irvine","21","11-4-6","29"
"","Western Mich.","22","8-10-4","29"
"","Penn","17","8-5-4","29"
"","Fordham","18","8-6-4","29"
"75","Evansville","20","7-5-8","28"
"","Houston Christian","19","11-5-3","28"
"","Belmont","17","8-3-6","28"
"","USC Upstate","19","5-11-3","28"
"","Rutgers","17","8-6-3","28"
"80","Cleveland St.","19","9-4-6","27"
"","Ga. Southern","18","13-4-1","27"
"","Purdue Fort Wayne","17","8-3-6","27"
"","Penn St.","17","5-8-4","27"
"","Kentucky","19","10-4-5","27"
"","Marist","16","8-4-4","27"
"","Massachusetts","17","6-5-6","27"
"","Jacksonville","18","6-7-5","27"
"88","California","18","8-8-2","26"
"","Notre Dame","20","9-7-4","26"
"","Rhode Island","17","4-8-5","26"
"","Presbyterian","20","7-8-5","26"
"","San Francisco","17","10-6-1","26"
"","South Carolina","18","7-9-2","26"
"","Robert Morris","17","6-4-7","26"
"95","Davidson","19","9-7-3","25"
"","La Salle","17","4-5-8","25"
"","Army West Point","18","7-6-5","25"
"","Quinnipiac","18","7-10-1","25"
"","Marquette","16","7-7-2","25"
"100","FIU","19","7-9-3","24"
"","Georgia St.","18","4-8-6","24"
"","LIU","18","8-3-7","24"
"","Saint Francis","18","8-9-1","24"
"","Xavier","15","5-6-4","24"
"","Syracuse","20","9-8-3","24"
"","Villanova","18","7-6-5","24"
"","Virginia Tech","16","7-4-5","24"
"","St. Thomas (MN)","17","7-5-5","24"
"109","American","18","8-8-2","23"
"","Drake","17","8-2-7","23"
"","Duquesne","16","8-6-2","23"
"","Harvard","17","6-6-5","23"
"","Niagara","16","8-7-1","23"
"","FGCU","16","6-7-3","23"
"","St. Bonaventure","15","3-9-3","23"
"","Santa Clara","18","6-5-7","23"
"","Stetson","17","6-8-3","23"
"","Green Bay","18","9-7-2","23"
"","Providence","16","6-7-3","23"
"120","Merrimack","16","4-9-3","22"
"","UAB","15","6-7-2","22"
"","Bradley","17","2-9-6","22"
"","Northwestern","17","8-6-3","22"
"","Utah Tech","17","4-7-6","22"
"","Wisconsin","16","8-8","22"
"","Col. of Charleston","17","6-8-3","22"
"","Elon","19","9-3-7","22"
"","VCU","17","6-6-5","22"
"129","Mercer","18","5-9-4","21"
"","UC Santa Barbara","20","7-5-8","21"
"","UC Riverside","17","4-9-4","21"
"","Creighton","16","8-4-4","21"
"","Missouri St.","16","6-6-4","21"
"","UNC Asheville","16","7-7-2","21"
"","UNCW","16","5-9-2","21"
"","Saint Joseph's","18","6-7-5","21"
"","Saint Peter's","16","4-10-2","21"
"","Manhattan","16","4-8-4","21"
"139","UAlbany","17","5-6-6","20"
"","UC Davis","19","4-9-6","20"
"","DePaul","17","2-8-7","20"
"","Gonzaga","16","5-8-3","20"
"","San Diego St.","18","7-9-2","20"
"","UMass Lowell","18","7-7-4","20"
"","UMBC","17","6-6-5","20"
"","Oakland","18","3-9-6","20"
"","Pittsburgh","18","6-7-5","20"
"","Longwood","16","3-8-5","20"
"149","Memphis","15","4-8-3","19"
"","Michigan St.","16","5-8-3","19"
"","Holy Cross","18","4-8-6","19"
"","Pacific","18","4-14","19"
"","SIUE","19","6-11-2","19"
"","Central Ark.","16","4-10-2","19"
"155","New Hampshire","18","5-8-5","18"
"","Howard","18","5-11-2","18"
"","Lafayette","22","8-7-7","18"
"","Southern Ind.","17","2-10-5","18"
"","ETSU","15","2-9-4","18"
"","Louisville","17","5-7-5","18"
"","Detroit Mercy","18","5-10-3","18"
"","Monmouth","16","5-8-3","18"
"","Columbia","15","3-8-4","18"
"","VMI","18","3-12-3","18"
"","Drexel","16","4-6-6","18"
"166","Navy","18","3-8-7","17"
"","Ohio St.","16","6-10","17"
"","Butler","17","5-10-2","17"
"","Coastal Carolina","14","3-9-2","17"
"","Western Ill.","20","5-11-4","17"
"","Brown","15","6-7-2","17"
"","Radford","17","2-11-4","17"
"","IU Indy","17","6-8-3","17"
"","Northeastern","15","4-7-4","17"
"","Loyola Chicago","16","4-5-7","17"
"","Rider","17","2-11-4","17"
"","Omaha","16","3-9-4","17"
"178","UNLV","16","4-6-6","16"
"","Eastern Ill.","17","4-9-4","16"
"","Dartmouth","14","3-8-3","16"
"","Wright St.","16","2-13-1","16"
"","Canisius","16","5-10-1","16"
"","UIW","18","5-7-6","16"
"","Bowling Green","17","5-8-4","16"
"","Lipscomb","17","2-9-6","16"
"","Stonehill","18","5-10-3","16"
"187","Tulsa","18","5-9-4","15"
"","Saint Mary's (CA)","16","2-8-6","15"
"","Mount St. Mary's","17","3-9-5","15"
"190","Northern Ky.","17","4-10-3","14"
"","George Washington","17","2-11-4","14"
"","Oral Roberts","17","4-10-3","14"
"","CSU Bakersfield","17","3-11-3","14"
"194","Sacramento St.","18","2-12-4","13"
"","Queens (NC)","17","5-6-6","13"
"196","William & Mary","16","2-10-4","12"
"","Binghamton","17","4-13","12"
"","Air Force","17","1-13-3","12"
"199","Loyola Maryland","16","3-10-3","11"
"","UTRGV","10","1-7-2","11"
"","CSUN","18","6-6-6","11"
"","Central Conn. St.","17","1-14-2","11"
"","Yale","15","3-9-3","11"
"204","UC San Diego","18","2-9-7","10"
"","James Madison","16","1-10-5","10"
"206","Colgate","17","5-7-5","9"
"207","NJIT","17","3-9-5","8"
"","Winthrop","16","1-12-3","8"
"","Temple","16","1-13-2","8"
"210","Chicago St.","17","1-15-1","7"
Reclassifying
"NR","Le Moyne","17","5-10-2","20"
"NR","Mercyhurst","17","3-10-4","18"
"NR","New Haven","16","5-5-6","16"

NCAA Men's Soccer
Division ITeam Goals Against Average
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Team Min","GA","GAA"
"1","Princeton","19","15-2-2","1710:00","7","0.368"
"2","Lindenwood","21","14-3-4","1910:00","11","0.518"
"3","NC State","23","16-3-4","2071:54","13","0.565"
"4","Elon","19","9-3-7","1730:00","11","0.572"
"5","Portland","20","14-2-4","1730:00","12","0.624"
"6","Bryant","22","17-2-3","2000:00","14","0.630"
"7","Delaware","17","12-2-3","1530:00","11","0.647"
"8","Cornell","20","14-4-2","1800:00","14","0.700"
"9","Penn","17","8-5-4","1530:00","12","0.706"
"10","Akron","21","13-5-3","1890:00","15","0.714"
"11","CSUN","18","6-6-6","1620:00","13","0.722"
"12","Grand Canyon","23","14-4-5","2090:00","17","0.732"
"13","Charlotte","16","8-4-4","1460:00","12","0.740"
"14","Vermont","20","14-1-5","1814:01","15","0.744"
"15","Cal Poly","20","9-6-5","1800:00","15","0.750"
"","High Point","20","14-2-4","1800:00","15","0.750"
"17","Drake","17","8-2-7","1550:00","13","0.755"
"18","Belmont","17","8-3-6","1530:00","13","0.765"
"19","Saint Louis","24","13-3-8","2213:50","19","0.772"
"20","Houston Christian","19","11-5-3","1730:00","15","0.780"
"21","Duke","20","10-4-6","1800:00","16","0.800"
"22","Georgetown","22","14-4-4","1980:00","18","0.818"
"23","Dayton","18","8-2-8","1640:00","15","0.823"
"24","North Carolina","20","9-5-6","1840:00","17","0.832"
"25","Seton Hall","19","7-4-8","1730:00","16","0.832"
"26","Gardner-Webb","18","13-3-2","1620:00","15","0.833"
"27","San Diego","19","13-3-3","1710:00","16","0.842"
"28","Stanford","20","14-4-2","1800:00","17","0.850"
"29","FDU","21","13-5-3","1893:25","18","0.856"
"30","UC Irvine","21","11-4-6","1890:00","18","0.857"
"31","Ga. Southern","18","13-4-1","1633:06","16","0.882"
"32","LIU","18","8-3-7","1620:00","16","0.889"
"33","Purdue Fort Wayne","17","8-3-6","1563:44","16","0.921"
"34","Kentucky","19","10-4-5","1743:50","18","0.929"
"35","Maryland","19","13-2-4","1730:00","18","0.936"
"36","Furman","23","16-2-5","2106:16","22","0.940"
"37","Evansville","20","7-5-8","1800:00","19","0.950"
"","Michigan","20","12-4-4","1800:00","19","0.950"
"39","Kansas City","21","12-4-5","1890:00","20","0.952"
"40","Hofstra","20","14-5-1","1826:18","20","0.986"
"41","UMBC","17","6-6-5","1550:00","17","0.987"
"42","Virginia","19","12-2-5","1730:00","19","0.988"
"43","Lafayette","22","8-7-7","2001:54","22","0.989"
"44","Cleveland St.","19","9-4-6","1723:44","19","0.992"
"45","SMU","20","11-5-4","1800:00","20","1.000"
"","UC Santa Barbara","20","7-5-8","1800:00","20","1.000"
"","Colgate","17","5-7-5","1530:00","17","1.000"
"","Creighton","16","8-4-4","1440:00","16","1.000"
"49","North Florida","19","12-5-2","1751:16","20","1.028"
"50","Washington","24","16-6-2","2175:21","25","1.034"
"51","Jacksonville","18","6-7-5","1640:00","19","1.043"
"52","Bellarmine","17","8-4-5","1551:16","18","1.044"
"53","San Jose St.","20","12-4-4","1802:30","21","1.049"
"54","Iona","18","9-4-5","1628:55","19","1.050"
"55","Army West Point","18","7-6-5","1620:00","19","1.056"
"56","UNC Greensboro","23","12-5-6","2126:16","25","1.058"
"57","Louisville","17","5-7-5","1530:00","18","1.059"
"58","Missouri St.","16","6-6-4","1440:00","17","1.063"
"59","UCLA","19","8-6-5","1730:00","21","1.092"
"60","St. John's (NY)","19","9-6-4","1713:58","21","1.103"
"61","UIW","18","5-7-6","1620:00","20","1.111"
"62","NIU","17","8-5-4","1530:00","19","1.118"
"63","Marshall","21","12-4-5","1909:24","24","1.131"
"64","Utah Valley","15","8-4-3","1350:00","17","1.133"
"65","UConn","21","12-5-4","1890:00","24","1.143"
"66","Syracuse","20","9-8-3","1800:00","23","1.150"
"67","Green Bay","18","9-7-2","1640:00","21","1.152"
"68","Stony Brook","19","9-5-5","1710:00","22","1.158"
"69","Fairfield","18","8-5-5","1625:42","21","1.163"
"","Sacred Heart","18","9-4-5","1625:42","21","1.163"
"71","American","18","8-8-2","1621:54","21","1.165"
"72","Bucknell","18","9-4-5","1620:00","21","1.167"
"73","Northwestern","17","8-6-3","1530:00","20","1.176"
"","Robert Morris","17","6-4-7","1530:00","20","1.176"
"","Queens (NC)","17","5-6-6","1530:00","20","1.176"
"76","Duquesne","16","8-6-2","1440:00","19","1.188"
"","Virginia Tech","16","7-4-5","1440:00","19","1.188"
"78","Liberty","20","9-5-6","1800:00","24","1.200"
"79","West Virginia","21","13-5-3","1933:22","26","1.210"
"80","Davidson","19","9-7-3","1710:00","23","1.211"
"81","Fla. Atlantic","18","12-4-2","1620:00","22","1.222"
"82","California Baptist","17","10-4-3","1532:30","21","1.233"
"83","Massachusetts","17","6-5-6","1530:00","21","1.235"
"","Harvard","17","6-6-5","1530:00","21","1.235"
"","NJIT","17","3-9-5","1530:00","21","1.235"
"","San Francisco","17","10-6-1","1530:00","21","1.235"
"87","Notre Dame","20","9-7-4","1800:00","25","1.250"
"88","Denver","22","12-7-3","2000:00","28","1.260"
"89","Saint Joseph's","18","6-7-5","1640:00","23","1.262"
"90","Columbia","15","3-8-4","1350:00","19","1.267"
"91","UCF","21","11-7-3","1903:06","27","1.277"
"92","Tulsa","18","5-9-4","1620:29","23","1.277"
"93","UAlbany","17","5-6-6","1550:00","22","1.277"
"94","Santa Clara","18","6-5-7","1620:00","23","1.278"
"","Pittsburgh","18","6-7-5","1620:00","23","1.278"
"","Holy Cross","18","4-8-6","1620:00","23","1.278"
"97","St. Thomas (MN)","17","7-5-5","1530:00","22","1.294"
"","Northern Ky.","17","4-10-3","1530:00","22","1.294"
"99","Campbell","20","10-6-4","1800:00","26","1.300"
"100","Marquette","16","7-7-2","1440:00","21","1.313"
"","Providence","16","6-7-3","1440:00","21","1.313"
"102","Indiana","19","12-6-1","1710:00","25","1.316"
"","SIUE","19","6-11-2","1710:00","25","1.316"
"104","Old Dominion","18","5-5-8","1640:00","24","1.317"
"105","Villanova","18","7-6-5","1620:00","24","1.333"
"","San Diego St.","18","7-9-2","1620:00","24","1.333"
"","IU Indy","17","6-8-3","1485:00","22","1.333"
"108","Boston College","17","7-9-1","1530:00","23","1.353"
"","Clemson","17","8-6-3","1530:00","23","1.353"
"110","New Hampshire","18","5-8-5","1647:43","25","1.366"
"111","Loyola Chicago","16","4-5-7","1440:00","22","1.375"
"","FGCU","16","6-7-3","1440:00","22","1.375"
"113","Fordham","18","8-6-4","1625:41","25","1.384"
"114","UIC","18","10-3-5","1620:00","25","1.389"
"115","Stetson","17","6-8-3","1550:00","24","1.394"
"116","Brown","15","6-7-2","1350:00","21","1.400"
"117","Penn St.","17","5-8-4","1530:00","24","1.412"
"118","Michigan St.","16","5-8-3","1440:00","23","1.438"
"","Marist","16","8-4-4","1440:00","23","1.438"
"120","Western Mich.","22","8-10-4","2000:00","32","1.440"
"121","California","18","8-8-2","1620:00","26","1.444"
"","Navy","18","3-8-7","1620:00","26","1.444"
"","Boston U.","18","10-8","1620:00","26","1.444"
"124","Siena","19","9-5-5","1738:55","28","1.449"
"125","Drexel","16","4-6-6","1425:41","23","1.452"
"126","UC Davis","19","4-9-6","1730:00","28","1.457"
"127","Xavier","15","5-6-4","1350:00","22","1.467"
"","Wisconsin","16","8-8","1350:00","22","1.467"
"129","South Fla.","17","9-3-5","1530:29","25","1.470"
"130","Bowling Green","17","5-8-4","1530:00","25","1.471"
"","Rhode Island","17","4-8-5","1530:00","25","1.471"
"132","UMass Lowell","18","7-7-4","1640:00","27","1.482"
"133","Lehigh","20","9-5-6","1820:00","30","1.484"
"134","Oakland","18","3-9-6","1620:00","27","1.500"
"","UNLV","16","4-6-6","1440:00","24","1.500"
"","UNC Asheville","16","7-7-2","1440:00","24","1.500"
"","Saint Mary's (CA)","16","2-8-6","1440:00","24","1.500"
"138","FIU","19","7-9-3","1730:00","29","1.509"
"139","Milwaukee","19","4-7-8","1710:00","29","1.526"
"140","La Salle","17","4-5-8","1530:00","26","1.529"
"","UC Riverside","17","4-9-4","1530:00","26","1.529"
"","Oral Roberts","17","4-10-3","1530:00","26","1.529"
"","Eastern Ill.","17","4-9-4","1530:00","26","1.529"
"144","Cal St. Fullerton","20","8-6-6","1820:00","31","1.533"
"145","Northeastern","15","4-7-4","1350:00","23","1.533"
"146","Presbyterian","20","7-8-5","1800:00","31","1.550"
"147","Mercer","18","5-9-4","1620:00","28","1.556"
"","UC San Diego","18","2-9-7","1620:00","28","1.556"
"149","Merrimack","16","4-9-3","1440:00","25","1.563"
"","James Madison","16","1-10-5","1440:00","25","1.563"
"151","Oregon St.","17","10-5-2","1543:27","27","1.574"
"152","Wake Forest","17","7-4-6","1530:00","27","1.588"
"","Col. of Charleston","17","6-8-3","1530:00","27","1.588"
"154","Monmouth","16","5-8-3","1440:00","26","1.625"
"155","Rutgers","17","8-6-3","1530:00","28","1.647"
"","VCU","17","6-6-5","1530:00","28","1.647"
"157","Western Ill.","20","5-11-4","1800:00","33","1.650"
"158","Saint Francis","18","8-9-1","1623:25","30","1.663"
"159","Detroit Mercy","18","5-10-3","1620:00","30","1.667"
"","LMU (CA)","18","5-6-7","1620:00","30","1.667"
"161","Niagara","16","8-7-1","1440:00","27","1.688"
"","Loyola Maryland","16","3-10-3","1440:00","27","1.688"
"","Gonzaga","16","5-8-3","1440:00","27","1.688"
"","Manhattan","16","4-8-4","1440:00","27","1.688"
"165","Mount St. Mary's","17","3-9-5","1530:00","29","1.706"
"166","Georgia St.","18","4-8-6","1620:00","31","1.722"
"167","UAB","15","6-7-2","1350:00","26","1.733"
"","Yale","15","3-9-3","1350:00","26","1.733"
"169","ETSU","15","2-9-4","1363:01","27","1.783"
"170","Memphis","15","4-8-3","1350:00","27","1.800"
"171","Ohio St.","16","6-10","1440:00","29","1.813"
"172","George Washington","17","2-11-4","1530:00","31","1.824"
"","Butler","17","5-10-2","1530:00","31","1.824"
"","Utah Tech","17","4-7-6","1530:00","31","1.824"
"175","Coastal Carolina","14","3-9-2","1280:00","26","1.828"
"176","Saint Peter's","16","4-10-2","1440:00","30","1.875"
"","George Mason","16","7-6-3","1440:00","30","1.875"
"178","CSU Bakersfield","17","3-11-3","1530:00","32","1.882"
"179","South Carolina","18","7-9-2","1620:00","34","1.889"
"180","Dartmouth","14","3-8-3","1260:00","27","1.929"
"181","UNCW","16","5-9-2","1440:00","31","1.938"
"182","Binghamton","17","4-13","1530:00","33","1.941"
"","Rider","17","2-11-4","1530:00","33","1.941"
"","Lipscomb","17","2-9-6","1530:00","33","1.941"
"185","USC Upstate","19","5-11-3","1710:00","38","2.000"
"","Stonehill","18","5-10-3","1620:00","36","2.000"
"","DePaul","17","2-8-7","1530:00","34","2.000"
"","Canisius","16","5-10-1","1440:00","32","2.000"
"","UTRGV","10","1-7-2","900:00","20","2.000"
"190","Howard","18","5-11-2","1620:00","37","2.056"
"191","Radford","17","2-11-4","1530:00","35","2.059"
"192","Sacramento St.","18","2-12-4","1620:00","38","2.111"
"","Quinnipiac","18","7-10-1","1620:00","38","2.111"
"194","Longwood","16","3-8-5","1440:00","34","2.125"
"","Omaha","16","3-9-4","1440:00","34","2.125"
"196","St. Bonaventure","15","3-9-3","1350:00","32","2.133"
"197","VMI","18","3-12-3","1620:00","39","2.167"
"198","Seattle U","17","4-7-6","1530:00","37","2.176"
"","Central Conn. St.","17","1-14-2","1530:00","37","2.176"
"","Bradley","17","2-9-6","1530:00","37","2.176"
"201","Air Force","17","1-13-3","1530:00","38","2.235"
"202","Wofford","19","6-11-2","1723:01","43","2.246"
"203","Central Ark.","16","4-10-2","1440:00","36","2.250"
"","Winthrop","16","1-12-3","1440:00","36","2.250"
"","Wright St.","16","2-13-1","1440:00","36","2.250"
"206","Temple","16","1-13-2","1440:00","37","2.313"
"207","Pacific","18","4-14","1620:00","42","2.333"
"208","William & Mary","16","2-10-4","1440:00","41","2.563"
"209","Southern Ind.","17","2-10-5","1530:00","46","2.706"
"210","Chicago St.","17","1-15-1","1530:00","59","3.471"
Reclassifying
"NR","New Haven","16","5-5-6","1440:00","20","1.250"
"NR","Le Moyne","17","5-10-2","1530:00","27","1.588"
"NR","Mercyhurst","17","3-10-4","1530:00","27","1.588"

NCAA Men's Soccer
Division IShutout Percentage
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Shutouts","Per Game"
"1","Princeton","19","15-2-2","13","0.684"
"2","NC State","23","16-3-4","15","0.652"
"3","Elon","19","9-3-7","12","0.632"
"4","Akron","21","13-5-3","13","0.619"
"5","Delaware","17","12-2-3","10","0.588"
"6","Lindenwood","21","14-3-4","12","0.571"
"7","Gardner-Webb","18","13-3-2","10","0.556"
"8","Cornell","20","14-4-2","11","0.550"
"9","Bryant","22","17-2-3","12","0.545"
"10","Penn","17","8-5-4","9","0.529"
"","Colgate","17","5-7-5","9","0.529"
"12","Cal Poly","20","9-6-5","10","0.500"
"","CSUN","18","6-6-6","9","0.500"
"","Dayton","18","8-2-8","9","0.500"
"","High Point","20","14-2-4","10","0.500"
"","Georgetown","22","14-4-4","11","0.500"
"","Portland","20","14-2-4","10","0.500"
